number,value,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_completed_rung_0,state
30,0.7751181198907184,2026-04-17 11:31:59.379977,2026-04-17 11:32:04.168722,0 days 00:00:04.788745,0.7671840876619526,10,70,0.09874173834774495,21,162,1.0226190965780216e-08,2.1705586207312013,0.6875518312923725,0.7751181198907184,PRUNED
31,0.7801624055946537,2026-04-17 11:32:04.169929,2026-04-17 11:32:09.921152,0 days 00:00:05.751223,0.9007364353014893,9,31,0.05115804711214483,12,249,7.42171495583622e-07,6.742577152734372e-05,0.6057771743548123,0.7801624055946537,COMPLETE
32,0.7741806480618957,2026-04-17 11:32:09.922281,2026-04-17 11:32:15.871083,0 days 00:00:05.948802,0.9663089361136353,8,82,0.045257066494807666,38,291,6.394618072972153e-07,0.0004540289219085003,0.6049126722606971,,COMPLETE
33,0.7753880647762654,2026-04-17 11:32:15.872238,2026-04-17 11:32:28.374252,0 days 00:00:12.502014,0.8495501857059061,9,48,0.08769099775956875,10,325,1.4072184873831582e-05,5.826780238684107e-07,0.7025567176623893,0.7753880647762654,PRUNED
34,0.7788262384519762,2026-04-17 11:32:28.375219,2026-04-17 11:32:35.537001,0 days 00:00:07.161782,0.8385936996385427,8,37,0.04650324482118049,21,183,0.00402022837670129,2.0398736096929948e-05,0.6016311569791312,0.7788262384519762,COMPLETE
35,0.7774673125822968,2026-04-17 11:32:35.538469,2026-04-17 11:32:38.048148,0 days 00:00:02.509679,0.8737340680231068,6,44,0.04717326042838175,44,127,2.7048188821743556e-08,0.03687646287234664,0.8223160460533594,,COMPLETE
36,0.7734772775428249,2026-04-17 11:32:38.049346,2026-04-17 11:32:45.652028,0 days 00:00:07.602682,0.9754628362249045,10,21,0.08853687528393236,13,235,7.150471128246276e-07,9.212883018526821e-05,0.6259728146973321,,COMPLETE
37,0.7806340831705088,2026-04-17 11:32:45.652970,2026-04-17 11:32:55.724236,0 days 00:00:10.071266,0.7125741399073888,9,59,0.020749824975121154,14,218,0.005657648499066776,0.01783121296467219,0.7383476798309727,,COMPLETE
38,0.778694289216417,2026-04-17 11:32:55.725172,2026-04-17 11:32:57.858348,0 days 00:00:02.133176,0.849539089517523,8,71,0.027215156627260456,58,120,4.195534886907667e-08,0.00017954817208125246,0.6526281438415902,0.778694289216417,COMPLETE
39,0.7767368669429832,2026-04-17 11:32:57.859313,2026-04-17 11:33:10.167313,0 days 00:00:12.308000,0.6184387768509253,9,43,0.026973888799088592,35,316,0.8898508498228586,0.0014576483204114452,0.7416509097520876,0.7767368669429832,PRUNED
40,0.774920541464302,2026-04-17 11:33:10.168202,2026-04-17 11:33:13.663884,0 days 00:00:03.495682,0.7253755739223691,6,29,0.06613417706838039,25,230,0.0020753442671074414,0.08271466973296482,0.717294216422961,0.774920541464302,PRUNED
41,0.7803885899887599,2026-04-17 11:33:13.664848,2026-04-17 11:33:23.090853,0 days 00:00:09.426005,0.7695997589714981,9,129,0.014052628870061427,10,178,0.0002520925058420363,0.050379864900099436,0.6314129027145786,,COMPLETE
42,0.7710989912927687,2026-04-17 11:33:23.091866,2026-04-17 11:33:39.049005,0 days 00:00:15.957139,0.8403654957299858,10,143,0.002728816349589282,12,122,3.5859273452720005e-05,0.013335017684798863,0.6273180224300835,0.7710989912927687,PRUNED
43,0.7737104633269041,2026-04-17 11:33:39.050155,2026-04-17 11:33:42.243675,0 days 00:00:03.193520,0.6859153527502303,10,27,0.006943578990368517,15,154,0.013265051035398514,0.0011056235788052702,0.8509058053254828,0.7737104633269041,PRUNED
44,0.7789188754096376,2026-04-17 11:33:42.245210,2026-04-17 11:33:51.693609,0 days 00:00:09.448399,0.7538872927416312,9,138,0.01708449397087979,25,223,0.003058454766311991,0.0005082375178505764,0.6932144456697857,0.7789188754096376,COMPLETE
45,0.7805677693800549,2026-04-17 11:33:51.695052,2026-04-17 11:33:56.433027,0 days 00:00:04.737975,0.7275382851391434,10,109,0.022958199081580373,12,137,0.00018136117085921114,0.11891439912941815,0.6045094432217615,0.7805677693800549,COMPLETE
46,0.7799614243762851,2026-04-17 11:33:56.434159,2026-04-17 11:34:07.871840,0 days 00:00:11.437681,0.7302850804640826,10,97,0.023362076358153877,19,119,0.00040518976940679796,0.1287334201684945,0.60118941443951,0.7799614243762851,COMPLETE
47,0.778870420864602,2026-04-17 11:34:07.872805,2026-04-17 11:34:14.711147,0 days 00:00:06.838342,0.7824793938521547,8,70,0.024830124341048355,11,292,0.2007922833178279,0.0003007522849280679,0.7804806151283085,0.778870420864602,COMPLETE
48,0.7702960798480021,2026-04-17 11:34:14.712157,2026-04-17 11:34:20.519942,0 days 00:00:05.807785,0.6588459333419192,9,140,0.06620461745128048,14,188,0.012230558731070157,0.004520179903765784,0.6054303218028894,0.7702960798480021,PRUNED
49,0.779997084654507,2026-04-17 11:34:20.521174,2026-04-17 11:34:28.002230,0 days 00:00:07.481056,0.9389392836589749,8,120,0.0219041789674575,14,169,0.00010658443299804272,0.14349029345364117,0.6124893726763362,,COMPLETE
50,0.7783371577097034,2026-04-17 11:34:28.003247,2026-04-17 11:34:30.476386,0 days 00:00:02.473139,0.6568714608384425,8,147,0.027685977031485787,12,109,8.536199573630313e-06,2.5069121397072305,0.6803819709231848,,COMPLETE
51,0.7786392369209459,2026-04-17 11:34:30.477457,2026-04-17 11:34:34.966231,0 days 00:00:04.488774,0.8203608133903564,7,101,0.03756457561685112,18,180,0.00045074564293151614,2.824597891846117,0.6203037054896661,0.7786392369209459,COMPLETE
52,0.7755478249683874,2026-04-17 11:34:34.969885,2026-04-17 11:34:44.336971,0 days 00:00:09.367086,0.9382218168450871,8,93,0.008345395638408607,24,158,0.0005841807314471363,0.0012675721067935512,0.631167357251066,0.7755478249683874,PRUNED
53,0.781069554424191,2026-04-17 11:34:44.337994,2026-04-17 11:34:54.133762,0 days 00:00:09.795768,0.7303635318093863,10,60,0.025543117237311255,19,234,0.014185034015032605,0.13201338968724202,0.7840663519503037,0.781069554424191,COMPLETE
54,0.7768944648491687,2026-04-17 11:34:54.135062,2026-04-17 11:35:01.108028,0 days 00:00:06.972966,0.6867283993775722,10,134,0.00883853700014051,15,204,0.0001619575964980585,0.03356504405659656,0.6078166767634041,0.7768944648491687,PRUNED
55,0.7762723249828828,2026-04-17 11:35:01.108945,2026-04-17 11:35:10.335511,0 days 00:00:09.226566,0.645598902074688,9,94,0.028954445784183852,20,272,0.003267893744983377,0.026011234220411926,0.7377511205913795,0.7762723249828828,PRUNED
56,0.7789446732200215,2026-04-17 11:35:10.336555,2026-04-17 11:35:13.746144,0 days 00:00:03.409589,0.7432763815894786,8,40,0.036426813464103334,27,187,0.03183551063589138,4.974360029552199,0.8336538197531685,0.7789446732200215,COMPLETE
57,0.7792089363619018,2026-04-17 11:35:13.747287,2026-04-17 11:35:22.224807,0 days 00:00:08.477520,0.7186909389472333,9,65,0.03126239756486947,24,244,5.4039667309488946e-05,0.3533541645613415,0.7126961864122657,,COMPLETE
58,0.7771816546205523,2026-04-17 11:35:22.226144,2026-04-17 11:35:26.770040,0 days 00:00:04.543896,0.7926408393550177,10,44,0.03191573557215187,39,348,0.003973111410489132,0.01465907832245169,0.845307417504683,0.7771816546205523,PRUNED
59,0.7802920142982114,2026-04-17 11:35:26.770959,2026-04-17 11:35:39.570598,0 days 00:00:12.799639,0.8483285840181137,10,126,0.028399328428024773,13,239,0.0015023186324505666,0.7504688429614227,0.6566587053134112,0.7802920142982114,COMPLETE
60,0.7745134187919538,2026-04-17 11:35:39.571650,2026-04-17 11:35:44.885544,0 days 00:00:05.313894,0.8289116196687506,9,128,0.053612905108810074,27,316,0.003387805282195242,0.6536977140497046,0.6518318834407466,,COMPLETE
61,0.7782031070468507,2026-04-17 11:35:44.886839,2026-04-17 11:35:57.168639,0 days 00:00:12.281800,0.8330394105129816,10,149,0.013989662090268582,38,200,0.0033754919055361578,1.8327929265032956,0.6537316416078536,0.7782031070468507,PRUNED
62,0.7781350411047934,2026-04-17 11:35:57.169618,2026-04-17 11:36:08.193540,0 days 00:00:11.023922,0.6345688419712818,9,66,0.019621367787354436,12,220,0.007637921204691325,0.3441990513344978,0.8129646806487191,,COMPLETE
63,0.7751261356715907,2026-04-17 11:36:08.194510,2026-04-17 11:36:14.151364,0 days 00:00:05.956854,0.7392827193808363,8,115,0.006251376265907636,14,143,0.009706312240067013,0.04349251225626657,0.7189958265662082,,COMPLETE
64,0.7762334663785054,2026-04-17 11:36:14.152348,2026-04-17 11:36:23.356743,0 days 00:00:09.204395,0.7593020380090013,9,68,0.05359848322108892,15,291,0.00015515998910449664,0.0005069640652540429,0.6280354962443864,,COMPLETE
65,0.7767166469595315,2026-04-17 11:36:23.357990,2026-04-17 11:36:25.684238,0 days 00:00:02.326248,0.6711972710837586,9,48,0.009564625801387264,35,180,0.003240924413859957,0.0006540895322611332,0.7035654836439497,0.7767166469595315,PRUNED
66,0.7797706606745968,2026-04-17 11:36:25.685514,2026-04-17 11:36:36.903396,0 days 00:00:11.217882,0.8792741568463419,10,108,0.028458357192639346,30,273,2.2660849087243027e-05,7.840530989971638,0.6490236228311345,,COMPLETE
67,0.7754094696991456,2026-04-17 11:36:36.904745,2026-04-17 11:36:43.237022,0 days 00:00:06.332277,0.9425733161819018,7,39,0.06654885764638357,13,316,2.4269627956673383e-07,0.009939969846019543,0.6213971466772031,0.7754094696991456,PRUNED
68,0.7815155390685884,2026-04-17 11:36:43.237957,2026-04-17 11:36:55.991073,0 days 00:00:12.753116,0.7840185109926565,9,78,0.01619873903070608,10,252,0.18191311529358317,0.025103004993910265,0.6646438136997707,0.7815155390685884,COMPLETE
69,0.7796072886543142,2026-04-17 11:36:55.992061,2026-04-17 11:37:04.819237,0 days 00:00:08.827176,0.795197557740935,7,140,0.013695362404842438,24,267,7.340743751926623e-05,0.04486371062460206,0.6040410553880277,,COMPLETE
70,0.7810327226772283,2026-04-17 11:37:04.820651,2026-04-17 11:37:12.843501,0 days 00:00:08.022850,0.7648681542301997,10,60,0.023519374017106822,16,249,0.46644445597006684,0.6393210822646155,0.7230924866268758,0.7810327226772283,COMPLETE
71,0.7743394968176608,2026-04-17 11:37:12.844624,2026-04-17 11:37:19.397891,0 days 00:00:06.553267,0.7802656672728993,8,24,0.004763474350278759,27,300,0.014523861228003119,1.7294946509395768,0.6626994214614698,0.7743394968176608,PRUNED
72,0.7786627139242641,2026-04-17 11:37:19.399111,2026-04-17 11:37:30.478456,0 days 00:00:11.079345,0.7338364308707649,9,73,0.04277375289468601,12,263,0.1558517486881349,0.09708319528245175,0.6558921220405768,,COMPLETE
73,0.7714713764290079,2026-04-17 11:37:30.479468,2026-04-17 11:37:39.774394,0 days 00:00:09.294926,0.8800684912824606,9,69,0.0027469418152631046,33,227,3.928037369481526,1.7466895603472905,0.7648206074749623,0.7714713764290079,PRUNED
74,0.779825953518064,2026-04-17 11:37:39.775364,2026-04-17 11:37:45.872809,0 days 00:00:06.097445,0.7956295289363304,10,25,0.015853629730902378,12,288,0.8071978336700131,2.844563509696527,0.7929858036059344,,COMPLETE
75,0.7765197362943521,2026-04-17 11:37:45.873742,2026-04-17 11:37:55.793867,0 days 00:00:09.920125,0.7533099285611898,10,91,0.01906939507075299,22,243,8.135755946265645,0.007348802911334533,0.7804524441198123,0.7765197362943521,PRUNED
76,0.7797508881104178,2026-04-17 11:37:55.794783,2026-04-17 11:38:04.373048,0 days 00:00:08.578265,0.8197222313634399,10,126,0.016689012889927485,18,246,2.8358697706984186,2.253397127233908,0.621847888173887,0.7797508881104178,COMPLETE
77,0.7723315854442407,2026-04-17 11:38:04.374554,2026-04-17 11:38:08.137270,0 days 00:00:03.762716,0.7158050335045272,9,43,0.014163319019879177,17,138,9.617960010086868,0.6197801892236907,0.6992202400712488,0.7723315854442407,PRUNED
78,0.777937404465762,2026-04-17 11:38:08.138125,2026-04-17 11:38:15.151107,0 days 00:00:07.012982,0.6305779214263261,8,78,0.041362017818820804,11,157,3.559454429088758e-06,0.002426082627904801,0.7228058549245912,0.777937404465762,PRUNED
79,0.7795104623127537,2026-04-17 11:38:15.152074,2026-04-17 11:38:27.228356,0 days 00:00:12.076282,0.7178008269859902,8,72,0.00825503585157901,11,349,0.18840751170169887,0.09903582706990628,0.6675028889175615,0.7795104623127537,COMPLETE
80,0.7795970441962585,2026-04-17 11:38:27.229456,2026-04-17 11:38:37.304553,0 days 00:00:10.075097,0.7442960033236238,10,69,0.04449890240824791,21,176,0.0040851255828674455,3.5869889433508266,0.7549984457060125,0.7795970441962585,COMPLETE
81,0.7787277686865068,2026-04-17 11:38:37.305740,2026-04-17 11:38:41.281392,0 days 00:00:03.975652,0.8532693954823611,10,49,0.01901032451251229,33,157,0.0010184314571298149,0.028454856251919614,0.6856560031451138,0.7787277686865068,COMPLETE
82,0.7760208912278236,2026-04-17 11:38:41.282556,2026-04-17 11:38:51.392074,0 days 00:00:10.109518,0.835580926527956,6,82,0.011665383427743705,12,270,4.938645331572925,0.0446728965066443,0.6954258132567226,,COMPLETE
83,0.7784156314419054,2026-04-17 11:38:51.394552,2026-04-17 11:38:58.298065,0 days 00:00:06.903513,0.9566942176589817,9,27,0.010357965381689958,43,253,9.311258573766026e-05,1.695526033749448e-05,0.6383944653945687,0.7784156314419054,PRUNED
84,0.7714424589516632,2026-04-17 11:38:58.298981,2026-04-17 11:39:01.874642,0 days 00:00:03.575661,0.8497505221986783,7,22,0.12147619713631716,14,263,2.1399229855610554e-06,1.4061162889527865e-05,0.6436829184012054,0.7714424589516632,PRUNED
85,0.779028180900137,2026-04-17 11:39:01.875688,2026-04-17 11:39:12.046126,0 days 00:00:10.170438,0.7973056006054428,10,83,0.01928305897552566,17,188,6.101802511164651e-06,0.00035540060256302445,0.6271467841231313,0.779028180900137,COMPLETE
86,0.78150133374723,2026-04-17 11:39:12.047545,2026-04-17 11:39:14.474716,0 days 00:00:02.427171,0.7677496843451173,9,84,0.02974423351640358,12,102,0.033856991364812086,3.927058274856751e-06,0.699734770626819,0.78150133374723,COMPLETE
87,0.7770628075532418,2026-04-17 11:39:14.475889,2026-04-17 11:39:22.054313,0 days 00:00:07.578424,0.7764097052976892,7,76,0.011533575688601978,12,109,0.0064871254671623685,3.736243731151824e-07,0.6664579656535612,0.7770628075532418,PRUNED
88,0.777473390749061,2026-04-17 11:39:22.056153,2026-04-17 11:39:28.913868,0 days 00:00:06.857715,0.7161381301210533,10,80,0.06169264584761568,11,216,0.022224958527298947,3.4858421212441646e-08,0.7426921442533705,,COMPLETE
89,0.7715570035775163,2026-04-17 11:39:28.915043,2026-04-17 11:39:31.103966,0 days 00:00:02.188923,0.8157691481807136,7,125,0.09299442651812959,38,194,0.001103042609847783,4.595962937726535e-07,0.6508710817000692,0.7715570035775163,PRUNED
90,0.7776269015042457,2026-04-17 11:39:31.105327,2026-04-17 11:39:41.879124,0 days 00:00:10.773797,0.8003497822461342,10,109,0.015201946837067357,21,105,0.8727907040466779,5.073934116136095e-06,0.6781203525444294,0.7776269015042457,PRUNED
91,0.7782501668946051,2026-04-17 11:39:41.880171,2026-04-17 11:39:45.963129,0 days 00:00:04.082958,0.9113781592935198,9,43,0.027963803713362042,27,337,0.05436782561682154,0.02792875697783633,0.604022108426029,,COMPLETE
92,0.779601588388452,2026-04-17 11:39:45.964524,2026-04-17 11:39:54.729189,0 days 00:00:08.764665,0.8023051534833412,9,28,0.0160523712650992,15,350,2.523787242249903e-08,1.6769746695380625e-06,0.6195952785704423,0.779601588388452,COMPLETE
93,0.7776813796116503,2026-04-17 11:39:54.730474,2026-04-17 11:40:06.898203,0 days 00:00:12.167729,0.8428959900522449,9,75,0.008252139044504324,21,236,0.0012194019411754815,0.016463072145743256,0.8045153643192884,0.7776813796116503,PRUNED
94,0.7793733706421351,2026-04-17 11:40:06.899486,2026-04-17 11:40:15.874291,0 days 00:00:08.974805,0.7461736042489674,10,69,0.01132328864312215,15,216,0.13333210704118045,0.012471357364470251,0.6670701863449117,,COMPLETE
95,0.7693490284357847,2026-04-17 11:40:15.875341,2026-04-17 11:40:24.888903,0 days 00:00:09.013562,0.9630674506095802,7,47,0.0014131596796817787,98,324,2.7815338613443394,4.651395160077762,0.8399686542821497,,COMPLETE
96,0.7795967247485198,2026-04-17 11:40:24.890335,2026-04-17 11:40:38.758090,0 days 00:00:13.867755,0.914409876835612,10,147,0.018480762451466293,13,279,0.0011109476634451095,0.057166285883688175,0.7442355321795653,,COMPLETE
97,0.7787005439454104,2026-04-17 11:40:38.759276,2026-04-17 11:40:41.116502,0 days 00:00:02.357226,0.8104888054951626,8,107,0.08270055730650688,10,119,3.6716580183074323,0.0004794663279499615,0.6242101422486875,0.7787005439454104,PRUNED
98,0.780300559044127,2026-04-17 11:40:41.117427,2026-04-17 11:40:53.196243,0 days 00:00:12.078816,0.7759703930677799,8,50,0.01617065887317316,12,197,1.7805076224546863e-05,0.006177290997856414,0.6696617673646844,,COMPLETE
99,0.7778342425710816,2026-04-17 11:40:53.197554,2026-04-17 11:40:57.455290,0 days 00:00:04.257736,0.8963742461171287,9,105,0.01687564911508687,12,106,0.1185710828836961,4.0554177865995474e-08,0.8402173315569937,0.7778342425710816,PRUNED
